Institution Name,City,State,Postal Code,Website,Average SAT for males,Average SAT for females,Average GPA for males,Average GPA for females,In state tuition,Out state tuition,Average ACT males,Average ACT females,Average number of AP Classes as male,Average number of AP Classes as female,Average number of Extracurriculars
HWP - Hamburger Universität für Wirtschaft und Politik,Denton,Texas,76205,http://wix.com/blandit.js?quis=vestibulum&lectus=ac&suspendisse=est&potenti=lacinia&in=nisi&eleifend=venenatis&quam=tristique&a=fusce&odio=congue&in=diam&hac=id&habitasse=ornare&platea=imperdiet&dictumst=sapien&maecenas=urna&ut=pretium&massa=nisl&quis=ut&augue=volutpat&luctus=sapien&tincidunt=arcu&nulla=sed&mollis=augue&molestie=aliquam&lorem=erat&quisque=volutpat&ut=in&erat=congue&curabitur=etiam&gravida=justo&nisi=etiam&at=pretium&nibh=iaculis&in=justo&hac=in&habitasse=hac&platea=habitasse&dictumst=platea&aliquam=dictumst&augue=etiam&quam=faucibus&sollicitudin=cursus&vitae=urna&consectetuer=ut&eget=tellus&rutrum=nulla&at=ut&lorem=erat&integer=id&tincidunt=mauris&ante=vulputate&vel=elementum&ipsum=nullam&praesent=varius&blandit=nulla&lacinia=facilisi&erat=cras&vestibulum=non&sed=velit&magna=nec&at=nisi&nunc=vulputate&commodo=nonummy&placerat=maecenas&praesent=tincidunt&blandit=lacus&nam=at&nulla=velit&integer=vivamus&pede=vel&justo=nulla&lacinia=eget&eget=eros&tincidunt=elementum&eget=pellentesque&tempus=quisque&vel=porta&pede=volutpat&morbi=erat&porttitor=quisque&lorem=erat&id=eros&ligula=viverra&suspendisse=eget&ornare=congue&consequat=eget&lectus=semper&in=rutrum&est=nulla&risus=nunc&auctor=purus&sed=phasellus&tristique=in,721,645,2.4,0.73,24352,29983,20,25,10,13,5
Armstrong University,Roanoke,Virginia,24014,http://google.com.au/molestie.json?cum=mauris&sociis=lacinia&natoque=sapien&penatibus=quis&et=libero&magnis=nullam&dis=sit&parturient=amet&montes=turpis&nascetur=elementum&ridiculus=ligula&mus=vehicula&etiam=consequat&vel=morbi&augue=a&vestibulum=ipsum&rutrum=integer&rutrum=a&neque=nibh&aenean=in&auctor=quis&gravida=justo&sem=maecenas&praesent=rhoncus&id=aliquam&massa=lacus&id=morbi&nisl=quis&venenatis=tortor&lacinia=id&aenean=nulla&sit=ultrices&amet=aliquet&justo=maecenas&morbi=leo&ut=odio&odio=condimentum&cras=id&mi=luctus&pede=nec&malesuada=molestie&in=sed&imperdiet=justo&et=pellentesque&commodo=viverra&vulputate=pede&justo=ac&in=diam&blandit=cras&ultrices=pellentesque&enim=volutpat&lorem=dui&ipsum=maecenas&dolor=tristique&sit=est&amet=et&consectetuer=tempus&adipiscing=semper&elit=est&proin=quam&interdum=pharetra&mauris=magna&non=ac&ligula=consequat&pellentesque=metus&ultrices=sapien&phasellus=ut&id=nunc&sapien=vestibulum&in=ante&sapien=ipsum&iaculis=primis&congue=in&vivamus=faucibus&metus=orci&arcu=luctus&adipiscing=et&molestie=ultrices&hendrerit=posuere&at=cubilia&vulputate=curae&vitae=mauris&nisl=viverra&aenean=diam&lectus=vitae&pellentesque=quam&eget=suspendisse&nunc=potenti&donec=nullam&quis=porttitor&orci=lacus&eget=at,793,1540,1.21,1.17,12890,30657,32,15,18,16,10
Karlstad University,Riverside,California,92513,https://house.gov/in/hac/habitasse/platea/dictumst/etiam/faucibus.html?nunc=at&nisl=turpis&duis=a&bibendum=pede&felis=posuere&sed=nonummy&interdum=integer&venenatis=non&turpis=velit&enim=donec&blandit=diam&mi=neque&in=vestibulum&porttitor=eget&pede=vulputate&justo=ut&eu=ultrices&massa=vel&donec=augue&dapibus=vestibulum&duis=ante&at=ipsum&velit=primis&eu=in&est=faucibus&congue=orci&elementum=luctus&in=et&hac=ultrices&habitasse=posuere&platea=cubilia&dictumst=curae&morbi=donec&vestibulum=pharetra&velit=magna&id=vestibulum&pretium=aliquet&iaculis=ultrices&diam=erat&erat=tortor&fermentum=sollicitudin&justo=mi&nec=sit&condimentum=amet&neque=lobortis&sapien=sapien&placerat=sapien&ante=non&nulla=mi&justo=integer&aliquam=ac&quis=neque&turpis=duis&eget=bibendum&elit=morbi&sodales=non&scelerisque=quam&mauris=nec&sit=dui&amet=luctus&eros=rutrum&suspendisse=nulla&accumsan=tellus&tortor=in&quis=sagittis&turpis=dui&sed=vel&ante=nisl&vivamus=duis&tortor=ac&duis=nibh&mattis=fusce&egestas=lacus&metus=purus&aenean=aliquet&fermentum=at&donec=feugiat&ut=non&mauris=pretium&eget=quis&massa=lectus&tempor=suspendisse&convallis=potenti&nulla=in,1145,681,3.93,2.96,39813,79323,15,23,3,13,10
Prasetiya Mulya Business School,High Point,North Carolina,27264,http://wunderground.com/sapien/cum/sociis/natoque/penatibus.jpg?elit=a&proin=feugiat&risus=et&praesent=eros&lectus=vestibulum&vestibulum=ac&quam=est&sapien=lacinia&varius=nisi&ut=venenatis&blandit=tristique&non=fusce&interdum=congue&in=diam&ante=id&vestibulum=ornare&ante=imperdiet&ipsum=sapien&primis=urna&in=pretium&faucibus=nisl&orci=ut&luctus=volutpat&et=sapien&ultrices=arcu&posuere=sed&cubilia=augue&curae=aliquam&duis=erat&faucibus=volutpat&accumsan=in&odio=congue&curabitur=etiam&convallis=justo&duis=etiam&consequat=pretium&dui=iaculis&nec=justo&nisi=in&volutpat=hac&eleifend=habitasse&donec=platea&ut=dictumst&dolor=etiam&morbi=faucibus&vel=cursus&lectus=urna&in=ut,1306,1178,1.18,1.96,21814,38240,31,35,16,0,7
Logan College of Chiropractic,Birmingham,Alabama,35231,https://techcrunch.com/mauris/non/ligula/pellentesque.html?ut=eget&nulla=orci&sed=vehicula&accumsan=condimentum&felis=curabitur&ut=in&at=libero&dolor=ut&quis=massa&odio=volutpat&consequat=convallis&varius=morbi&integer=odio&ac=odio&leo=elementum&pellentesque=eu&ultrices=interdum&mattis=eu&odio=tincidunt&donec=in&vitae=leo&nisi=maecenas&nam=pulvinar&ultrices=lobortis&libero=est&non=phasellus&mattis=sit&pulvinar=amet&nulla=erat&pede=nulla&ullamcorper=tempus&augue=vivamus&a=in&suscipit=felis&nulla=eu&elit=sapien&ac=cursus&nulla=vestibulum&sed=proin&vel=eu&enim=mi&sit=nulla&amet=ac&nunc=enim&viverra=in&dapibus=tempor&nulla=turpis&suscipit=nec&ligula=euismod&in=scelerisque&lacus=quam&curabitur=turpis&at=adipiscing&ipsum=lorem&ac=vitae,1407,1332,0.91,2.72,22799,55943,34,21,20,8,14
Collège Boréal,Davenport,Iowa,52809,https://google.es/cubilia/curae/donec/pharetra/magna/vestibulum/aliquet.jpg?eu=ut&mi=odio&nulla=cras&ac=mi&enim=pede&in=malesuada&tempor=in&turpis=imperdiet&nec=et&euismod=commodo&scelerisque=vulputate&quam=justo&turpis=in&adipiscing=blandit&lorem=ultrices&vitae=enim&mattis=lorem&nibh=ipsum&ligula=dolor&nec=sit&sem=amet&duis=consectetuer&aliquam=adipiscing&convallis=elit&nunc=proin&proin=interdum&at=mauris&turpis=non&a=ligula&pede=pellentesque&posuere=ultrices&nonummy=phasellus&integer=id&non=sapien&velit=in&donec=sapien&diam=iaculis&neque=congue&vestibulum=vivamus&eget=metus&vulputate=arcu&ut=adipiscing&ultrices=molestie&vel=hendrerit&augue=at&vestibulum=vulputate&ante=vitae&ipsum=nisl&primis=aenean&in=lectus,1349,820,1.53,2.83,11323,64200,20,27,5,15,4
Pontifícia Universidade Católica de São Paulo,Shreveport,Louisiana,71105,http://ifeng.com/magnis/dis/parturient/montes.aspx?felis=tempus&fusce=vel&posuere=pede&felis=morbi&sed=porttitor&lacus=lorem&morbi=id&sem=ligula&mauris=suspendisse&laoreet=ornare&ut=consequat&rhoncus=lectus&aliquet=in&pulvinar=est&sed=risus&nisl=auctor&nunc=sed&rhoncus=tristique&dui=in&vel=tempus&sem=sit&sed=amet&sagittis=sem&nam=fusce&congue=consequat&risus=nulla&semper=nisl&porta=nunc&volutpat=nisl&quam=duis,821,1000,1.44,1.69,31684,70198,13,13,12,18,10
"Universidad Católica Boliviana, Tarija",Tampa,Florida,33647,https://tamu.edu/suspendisse/potenti/nullam/porttitor/lacus.html?ante=non&vestibulum=velit&ante=nec&ipsum=nisi&primis=vulputate&in=nonummy&faucibus=maecenas&orci=tincidunt&luctus=lacus&et=at&ultrices=velit&posuere=vivamus&cubilia=vel,1030,955,3.9,2.75,33303,74204,12,12,2,10,0
DeSales University,Naples,Florida,34108,http://spiegel.de/faucibus/orci/luctus/et/ultrices/posuere.jpg?donec=varius&pharetra=nulla&magna=facilisi&vestibulum=cras&aliquet=non&ultrices=velit&erat=nec&tortor=nisi&sollicitudin=vulputate&mi=nonummy&sit=maecenas&amet=tincidunt&lobortis=lacus&sapien=at&sapien=velit&non=vivamus&mi=vel&integer=nulla&ac=eget&neque=eros&duis=elementum&bibendum=pellentesque&morbi=quisque&non=porta&quam=volutpat&nec=erat&dui=quisque&luctus=erat&rutrum=eros&nulla=viverra&tellus=eget&in=congue&sagittis=eget&dui=semper&vel=rutrum&nisl=nulla&duis=nunc&ac=purus&nibh=phasellus&fusce=in&lacus=felis&purus=donec&aliquet=semper&at=sapien&feugiat=a&non=libero&pretium=nam&quis=dui&lectus=proin&suspendisse=leo&potenti=odio&in=porttitor&eleifend=id&quam=consequat&a=in&odio=consequat&in=ut&hac=nulla&habitasse=sed&platea=accumsan&dictumst=felis&maecenas=ut&ut=at&massa=dolor&quis=quis&augue=odio&luctus=consequat&tincidunt=varius&nulla=integer&mollis=ac&molestie=leo&lorem=pellentesque&quisque=ultrices&ut=mattis,1314,1147,3.76,2.22,22424,53189,17,32,20,9,15
Trinity Christian College,Fresno,California,93762,http://google.es/a/feugiat/et/eros/vestibulum.js?in=posuere&sapien=felis&iaculis=sed&congue=lacus&vivamus=morbi&metus=sem&arcu=mauris&adipiscing=laoreet&molestie=ut&hendrerit=rhoncus&at=aliquet&vulputate=pulvinar&vitae=sed&nisl=nisl&aenean=nunc&lectus=rhoncus&pellentesque=dui&eget=vel&nunc=sem&donec=sed&quis=sagittis&orci=nam&eget=congue&orci=risus&vehicula=semper&condimentum=porta&curabitur=volutpat&in=quam&libero=pede&ut=lobortis&massa=ligula&volutpat=sit&convallis=amet&morbi=eleifend&odio=pede&odio=libero&elementum=quis&eu=orci&interdum=nullam&eu=molestie&tincidunt=nibh&in=in&leo=lectus&maecenas=pellentesque&pulvinar=at&lobortis=nulla&est=suspendisse&phasellus=potenti&sit=cras&amet=in&erat=purus&nulla=eu&tempus=magna&vivamus=vulputate&in=luctus&felis=cum&eu=sociis&sapien=natoque&cursus=penatibus&vestibulum=et&proin=magnis&eu=dis&mi=parturient&nulla=montes&ac=nascetur&enim=ridiculus&in=mus&tempor=vivamus&turpis=vestibulum&nec=sagittis&euismod=sapien&scelerisque=cum&quam=sociis&turpis=natoque&adipiscing=penatibus&lorem=et&vitae=magnis&mattis=dis,1583,1420,2.44,1.09,33573,38694,36,36,18,16,2
Western State University College of Law,New York City,New York,10120,https://facebook.com/id/pretium.js?nisl=nisl&nunc=duis&rhoncus=ac&dui=nibh&vel=fusce&sem=lacus&sed=purus&sagittis=aliquet&nam=at&congue=feugiat&risus=non&semper=pretium&porta=quis&volutpat=lectus&quam=suspendisse&pede=potenti&lobortis=in&ligula=eleifend&sit=quam&amet=a&eleifend=odio&pede=in&libero=hac&quis=habitasse&orci=platea&nullam=dictumst&molestie=maecenas&nibh=ut&in=massa&lectus=quis&pellentesque=augue&at=luctus&nulla=tincidunt&suspendisse=nulla&potenti=mollis&cras=molestie&in=lorem&purus=quisque&eu=ut&magna=erat,1371,685,1.69,1.55,37852,31253,18,17,5,6,4
Astrahan State Medical Academy,Salt Lake City,Utah,84140,http://yahoo.com/dis.jsp?vestibulum=nibh&sed=in&magna=quis&at=justo&nunc=maecenas&commodo=rhoncus&placerat=aliquam&praesent=lacus&blandit=morbi&nam=quis&nulla=tortor&integer=id&pede=nulla&justo=ultrices&lacinia=aliquet&eget=maecenas&tincidunt=leo&eget=odio&tempus=condimentum&vel=id&pede=luctus,642,1230,2.3,0.86,41802,44303,24,16,6,1,5
Nova Southeastern University,Jackson,Tennessee,38308,https://china.com.cn/vulputate/nonummy.json?pellentesque=platea&ultrices=dictumst&phasellus=aliquam&id=augue&sapien=quam&in=sollicitudin&sapien=vitae&iaculis=consectetuer&congue=eget&vivamus=rutrum&metus=at&arcu=lorem&adipiscing=integer&molestie=tincidunt&hendrerit=ante&at=vel&vulputate=ipsum&vitae=praesent&nisl=blandit&aenean=lacinia&lectus=erat&pellentesque=vestibulum&eget=sed&nunc=magna&donec=at&quis=nunc&orci=commodo&eget=placerat&orci=praesent&vehicula=blandit&condimentum=nam&curabitur=nulla&in=integer&libero=pede&ut=justo&massa=lacinia&volutpat=eget&convallis=tincidunt&morbi=eget&odio=tempus&odio=vel&elementum=pede&eu=morbi&interdum=porttitor&eu=lorem&tincidunt=id&in=ligula&leo=suspendisse&maecenas=ornare&pulvinar=consequat&lobortis=lectus&est=in&phasellus=est&sit=risus&amet=auctor&erat=sed&nulla=tristique&tempus=in&vivamus=tempus&in=sit&felis=amet&eu=sem&sapien=fusce&cursus=consequat&vestibulum=nulla&proin=nisl&eu=nunc&mi=nisl&nulla=duis&ac=bibendum&enim=felis&in=sed&tempor=interdum&turpis=venenatis&nec=turpis&euismod=enim&scelerisque=blandit&quam=mi&turpis=in&adipiscing=porttitor&lorem=pede&vitae=justo&mattis=eu&nibh=massa&ligula=donec&nec=dapibus,1031,823,2.59,3.29,14454,78984,11,25,3,4,8
"Islamic Azad University, Shirvan",Charleston,West Virginia,25321,https://artisteer.com/odio.aspx?blandit=sit&lacinia=amet&erat=justo&vestibulum=morbi&sed=ut&magna=odio&at=cras&nunc=mi&commodo=pede&placerat=malesuada,1326,960,3.55,0.79,27494,32513,23,20,1,10,4
Atatürk University,South Bend,Indiana,46620,http://myspace.com/orci/nullam/molestie.html?lectus=natoque&pellentesque=penatibus&eget=et&nunc=magnis&donec=dis&quis=parturient&orci=montes&eget=nascetur&orci=ridiculus&vehicula=mus&condimentum=etiam&curabitur=vel&in=augue&libero=vestibulum&ut=rutrum&massa=rutrum&volutpat=neque&convallis=aenean&morbi=auctor&odio=gravida&odio=sem&elementum=praesent&eu=id&interdum=massa&eu=id&tincidunt=nisl&in=venenatis&leo=lacinia&maecenas=aenean&pulvinar=sit&lobortis=amet&est=justo&phasellus=morbi&sit=ut&amet=odio&erat=cras&nulla=mi&tempus=pede&vivamus=malesuada&in=in&felis=imperdiet&eu=et&sapien=commodo&cursus=vulputate&vestibulum=justo&proin=in&eu=blandit&mi=ultrices&nulla=enim&ac=lorem,1187,1441,3.51,1.37,10824,38556,15,18,0,17,3
Umutara Polytechnic,Raleigh,North Carolina,27615,https://macromedia.com/nunc/rhoncus/dui/vel/sem/sed.js?etiam=pellentesque&vel=ultrices&augue=phasellus&vestibulum=id&rutrum=sapien&rutrum=in&neque=sapien&aenean=iaculis&auctor=congue&gravida=vivamus&sem=metus&praesent=arcu&id=adipiscing&massa=molestie&id=hendrerit&nisl=at&venenatis=vulputate&lacinia=vitae&aenean=nisl&sit=aenean&amet=lectus&justo=pellentesque&morbi=eget&ut=nunc&odio=donec&cras=quis&mi=orci&pede=eget&malesuada=orci&in=vehicula&imperdiet=condimentum&et=curabitur&commodo=in&vulputate=libero&justo=ut,1099,909,0.91,0.78,38274,67479,23,26,12,7,12
Moscow State University of Environmental Engineering,Carson City,Nevada,89706,https://nhs.uk/sapien/varius/ut/blandit/non/interdum/in.jpg?felis=turpis&ut=enim&at=blandit&dolor=mi&quis=in&odio=porttitor&consequat=pede&varius=justo&integer=eu&ac=massa&leo=donec&pellentesque=dapibus&ultrices=duis&mattis=at&odio=velit&donec=eu&vitae=est&nisi=congue&nam=elementum&ultrices=in&libero=hac&non=habitasse&mattis=platea&pulvinar=dictumst&nulla=morbi&pede=vestibulum&ullamcorper=velit&augue=id&a=pretium&suscipit=iaculis&nulla=diam&elit=erat&ac=fermentum&nulla=justo&sed=nec&vel=condimentum&enim=neque&sit=sapien&amet=placerat&nunc=ante&viverra=nulla&dapibus=justo&nulla=aliquam&suscipit=quis&ligula=turpis&in=eget&lacus=elit&curabitur=sodales&at=scelerisque&ipsum=mauris&ac=sit,767,1414,4.0,0.98,43338,62796,36,23,1,18,5
Cabrini College,Grand Rapids,Michigan,49505,http://webnode.com/non/ligula/pellentesque/ultrices/phasellus/id.xml?elementum=adipiscing&in=molestie&hac=hendrerit&habitasse=at&platea=vulputate&dictumst=vitae&morbi=nisl&vestibulum=aenean&velit=lectus&id=pellentesque,1043,913,3.23,3.3,17507,58585,25,30,16,15,2
Crichton College,Dallas,Texas,75246,https://bloglovin.com/nulla/facilisi.js?morbi=in&vestibulum=magna&velit=bibendum&id=imperdiet&pretium=nullam&iaculis=orci&diam=pede&erat=venenatis&fermentum=non&justo=sodales&nec=sed&condimentum=tincidunt&neque=eu&sapien=felis&placerat=fusce&ante=posuere&nulla=felis&justo=sed&aliquam=lacus,1408,1448,3.59,2.51,30411,66787,23,31,14,3,14
